iter	Accuracy	MultiClass
0	0.733687093	1.342032839
1	0.7415819398	1.302544177
2	0.7457969771	1.266471517
3	0.7451469516	1.233223717
4	0.7481069147	1.202870608
5	0.7486916292	1.174809629
6	0.7484007904	1.148290049
7	0.7499131919	1.124844791
8	0.7517432899	1.100894459
9	0.751871083	1.079036438
10	0.7519720211	1.058584222
11	0.7513395016	1.039608913
12	0.7513961659	1.022626523
13	0.752297417	1.004618482
14	0.752155834	0.9893834623
15	0.7526908478	0.9734073311
16	0.7545083206	0.9581159578
17	0.7539167724	0.9445251547
18	0.7561037639	0.9304680968
19	0.7570446128	0.9174517947
20	0.75682326	0.9065903772
21	0.7568592242	0.895758038
22	0.757064516	0.8846370994
23	0.7574649328	0.8743064465
24	0.7586224912	0.8646642379
25	0.7594862845	0.8548355071
26	0.7599060641	0.8461241138
27	0.7605525217	0.8368561728
28	0.7606320344	0.8280422351
29	0.7608676776	0.8197487856
30	0.7612079505	0.8124007586
31	0.7617141387	0.8051538106
32	0.762341727	0.7983718214
33	0.7626780607	0.7916322949
34	0.7626751558	0.7850961589
35	0.7630990457	0.77913934
36	0.7633378703	0.7730964836
37	0.7633679129	0.7667228148
38	0.7645047604	0.7612657248
39	0.7639906233	0.7558904792
40	0.7640601401	0.7506028707
41	0.7645568052	0.7451831337
42	0.764757581	0.7404426353
43	0.7654039054	0.7352345604
44	0.7655501459	0.7311638426
45	0.7654048444	0.7268313627
46	0.7657903149	0.7227489352
47	0.7661415491	0.71872382
48	0.766126535	0.7149854181
49	0.7661239328	0.7117094515
50	0.7660555671	0.7085660925
51	0.7665298644	0.7053346606
52	0.7665982956	0.7020137961
53	0.7666823437	0.6991553319
54	0.7667928569	0.6960352219
55	0.7671525402	0.692942319
56	0.7675961132	0.690052434
57	0.767861665	0.6868156872
58	0.7680984479	0.6837198803
59	0.7680367367	0.6811481891
60	0.7683817457	0.6783981313
61	0.7690731947	0.6757390323
62	0.7694258799	0.6730245232
63	0.7695682493	0.670197944
64	0.7698958968	0.6675229229
65	0.7700811265	0.6650910267
66	0.7701164536	0.6628980146
67	0.7708229155	0.6608852766
68	0.7707162286	0.6588766542
69	0.770933722	0.656589118
70	0.7711058943	0.6545891827
71	0.7713811294	0.6526477042
72	0.7717670364	0.650944274
73	0.7719424345	0.6491136688
74	0.7720373345	0.6473786239
75	0.7724038074	0.6456111586
76	0.7726747333	0.6437835296
77	0.7730299353	0.6422173122
78	0.773122017	0.6409220708
79	0.7737471849	0.6393065946
80	0.7738411444	0.6375787491
81	0.7745238971	0.6359495136
82	0.7748358676	0.6344966839
83	0.7752477583	0.6330266869
84	0.7756703714	0.6314500899
85	0.7756931913	0.6299218728
86	0.7759894812	0.6283345276
87	0.7760897552	0.6269487792
88	0.7761226695	0.6259343409
89	0.7764706145	0.6247796372
90	0.7766765434	0.6237046368
91	0.776675068	0.6222537178
92	0.7769161273	0.6209760199
93	0.7769222001	0.6198349798
94	0.7771640705	0.6188036495
95	0.7771839952	0.6176906483
96	0.7774796534	0.6163718162
97	0.7778650755	0.6154200715
98	0.7782263814	0.6145230294
99	0.7784058591	0.6139666811
100	0.7790738218	0.6129995235
101	0.779273305	0.6120703958
102	0.7795883333	0.6111441871
103	0.7798570745	0.6104140061
104	0.7799904871	0.6093250646
105	0.780428225	0.6086633295
106	0.7810021008	0.6075797362
107	0.7808232839	0.6067158576
108	0.7808957482	0.6058332473
109	0.7813474516	0.6050270624
110	0.7815809949	0.6045879933
111	0.7816896579	0.6040671066
112	0.7825092422	0.6033192456
113	0.7827415879	0.6025933979
114	0.7825429296	0.6018191115
115	0.7826610224	0.6012922402
116	0.7830493748	0.6005513387
117	0.7834096919	0.5998683589
118	0.783620983	0.5993645907
119	0.7838483568	0.5988284482
