iter	Passed	Remaining
0	10691	53446956
1	20456	51120687
2	30139	50201719
3	38775	48430966
4	47459	47411731
5	56910	47368480
6	65662	46836229
7	74928	46755196
8	85017	47147106
9	93312	46562847
10	98304	44585785
11	100914	41946921
12	103542	39720592
13	106177	37814471
14	108999	36224307
15	115324	35923610
16	124327	36442621
17	133497	36949027
18	142060	37242373
19	150822	37554844
20	158867	37666830
21	167095	37809240
22	176044	38094421
23	184711	38296770
24	193381	38482909
25	202131	38669229
26	210206	38716925
27	218903	38870967
28	227124	38932255
29	236706	39214357
30	244418	39177883
31	253227	39313526
32	264285	39778915
33	274321	40067132
34	285263	40466637
35	293655	40491847
36	302603	40589771
37	311068	40618993
38	319210	40605215
39	327594	40621730
40	336480	40697733
41	344645	40684567
42	353977	40806212
43	362000	40774452
44	371448	40900625
45	379919	40915700
46	388508	40942140
47	396689	40925173
48	404794	40900806
49	413057	40892703
50	420564	40811269
51	430800	40992347
52	446370	41664028
53	454442	41623556
54	464134	41729925
55	473940	41842179
56	483075	41891984
57	492662	41978229
58	502203	42057415
59	511986	42153565
60	523447	42382055
61	532354	42399438
62	541890	42465275
63	551383	42525422
64	561070	42598191
65	570249	42630465
66	579566	42671660
67	587707	42626111
68	595991	42591767
69	604108	42546533
70	612717	42536369
71	620775	42488636
72	628913	42447339
73	636951	42400311
74	645606	42394853
75	653589	42345752
76	661834	42314455
77	669921	42273772
78	678523	42265995
79	687174	42261237
80	696119	42274228
81	704364	42244673
82	712655	42218408
83	720826	42185513
84	728707	42136416
85	736667	42092847
86	744581	42047468
87	753075	42035299
88	761848	42038645
89	769893	42001988
90	780531	42105802
91	788958	42089197
92	797417	42074513
93	805656	42048428
94	814512	42054563
95	822994	42041285
96	831642	42036505
97	840299	42032144
98	849323	42045817
99	858490	42066023
100	868068	42105609
101	878029	42162632
102	887378	42189269
103	896641	42211139
104	905011	42190784
105	913363	42169830
106	921221	42126533
107	929639	42109230
108	937822	42081553
109	946449	42073992
110	955148	42069556
111	963370	42044227
112	971523	42016255
113	979520	41981926
114	988264	41979738
115	996756	41966878
116	1006308	41998346
117	1014614	41977518
118	1022874	41955053
119	1030743	41916911
120	1040000	41935235
121	1048147	41908706
122	1056330	41883924
123	1064751	41868763
124	1072954	41845232
125	1080831	41809289
126	1089326	41797549
127	1097017	41755223
128	1105410	41739950
129	1114388	41746716
130	1122621	41725518
131	1131728	41736758
132	1140402	41731871
133	1149727	41750563
134	1158694	41755902
135	1167008	41737699
136	1175437	41723734
137	1183581	41699817
138	1191577	41670916
139	1199825	41651074
140	1207592	41614849
141	1215523	41584591
142	1223542	41557679
143	1231262	41520915
144	1239259	41493828
145	1247213	41465574
146	1255157	41437263
147	1263257	41414345
148	1271116	41383795
149	1279144	41358993
150	1287469	41343961
151	1295583	41322294
152	1303630	41298672
153	1311616	41273343
154	1319455	41243639
155	1328825	41261722
156	1336623	41231000
157	1344564	41204945
158	1352533	41179975
159	1360744	41162507
160	1369097	41149462
161	1377334	41132986
162	1386339	41139422
163	1394306	41115026
164	1402469	41096613
165	1410613	41077731
166	1418698	41057312
167	1426750	41036054
168	1434484	41005894
169	1442402	40981192
170	1450197	40953228
171	1458223	40931996
172	1466364	40914098
173	1474250	40889280
174	1482484	40874218
175	1490492	40853046
176	1498610	40835020
177	1506518	40811405
178	1514497	40789891
179	1522670	40773744
180	1530695	40753709
181	1538855	40737406
182	1547411	40731584
183	1555402	40710966
184	1563316	40688469
185	1571219	40665856
186	1580464	40677950
187	1589662	40688588
188	1598000	40677146
